what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337581864953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337581865328
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1337581865343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337581875734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337581880515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1337581884250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337581891671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582288218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582308203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582409781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1337582409875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1337582409875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582414562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582436765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582447859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337582513390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337582520609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582529156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1337582529296
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1337582535734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582536390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582539156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582542125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582546046
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337582548328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1337582553578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337582583656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582590781
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1337582596562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582596718
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1337582596812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337582596828
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1337582603515
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337582619234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337582621125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582625828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337582649656
